open,high,low,close,volume,date
148.66,151.57,148.65,150.02,69064800.0,0.0,2021-11-02
148.985,149.7,147.8,148.96,74588258.0,0.0,2021-11-01
147.22,149.94,146.41,149.8,124850400.0,0.0,2021-10-29
149.82,153.165,149.72,152.57,100077888.0,0.0,2021-10-28
149.36,149.73,148.49,148.85,51361252.0,0.0,2021-10-27
149.33,150.84,149.01,149.32,60811700.0,0.0,2021-10-26
148.68,149.37,147.6211,148.64,50720561.0,0.0,2021-10-25
149.69,150.18,148.64,148.69,58839600.0,0.0,2021-10-22
148.81,149.64,147.87,149.48,61314200.0,0.0,2021-10-21
148.7,149.7522,148.12,149.26,58418788.0,0.0,2021-10-20
147.01,149.17,146.55,148.76,76248300.0,0.0,2021-10-19
143.445,146.84,143.16,146.55,79797028.0,0.0,2021-10-18
143.77,144.9,143.51,144.84,67885200.0,0.0,2021-10-15
142.11,143.88,141.51,143.76,69907100.0,0.0,2021-10-14
141.235,141.4,139.2,140.91,74732031.0,0.0,2021-10-13
143.23,143.25,141.0401,141.51,73035862.0,0.0,2021-10-12
142.27,144.81,141.81,142.81,63012662.0,0.0,2021-10-11
144.03,144.18,142.56,142.9,58718700.0,0.0,2021-10-08
143.06,144.215,142.73,143.29,61732656.0,0.0,2021-10-07
139.47,142.15,138.37,142.0,83049259.0,0.0,2021-10-06
139.49,142.24,139.36,141.11,80861062.0,0.0,2021-10-05
141.76,142.21,138.27,139.14,98078066.0,0.0,2021-10-04
141.9,142.92,139.1101,142.65,94639581.0,0.0,2021-10-01
143.66,144.378,141.3,141.5,88625397.0,0.0,2021-09-30
142.47,144.45,142.03,142.83,74602044.0,0.0,2021-09-29
143.25,144.75,141.7,141.91,108972340.0,0.0,2021-09-28
145.47,145.95,143.82,145.37,73852016.0,0.0,2021-09-27
145.66,147.47,145.56,146.92,53434200.0,0.0,2021-09-24
146.65,147.08,145.64,146.83,64838170.0,0.0,2021-09-23
144.45,146.43,143.7001,145.85,76404341.0,0.0,2021-09-22
143.93,144.6,142.78,143.43,75833962.0,0.0,2021-09-21
143.8,144.84,141.28,142.94,123478863.0,0.0,2021-09-20
148.82,148.82,145.76,146.06,129728700.0,0.0,2021-09-17
148.44,148.9684,147.221,148.79,67901433.0,0.0,2021-09-16
148.56,149.44,146.37,149.03,79159981.0,0.0,2021-09-15
150.35,151.07,146.91,148.12,109296295.0,0.0,2021-09-14
150.63,151.41,148.75,149.55,102404329.0,0.0,2021-09-13
155.0,155.48,148.7,148.97,140646400.0,0.0,2021-09-10
155.49,156.11,153.95,154.07,54962409.0,0.0,2021-09-09
156.98,157.04,153.975,155.11,74160481.0,0.0,2021-09-08
154.97,157.26,154.39,156.69,80079257.0,0.0,2021-09-07
153.76,154.63,153.09,154.3,57808700.0,0.0,2021-09-03
153.87,154.72,152.4,153.65,69600446.0,0.0,2021-09-02
152.83,154.98,152.34,152.51,80313711.0,0.0,2021-09-01
152.66,152.8,151.29,151.83,86453117.0,0.0,2021-08-31
149.0,153.49,148.61,153.12,90956723.0,0.0,2021-08-30
147.48,148.75,146.83,148.6,55721500.0,0.0,2021-08-27
148.35,149.12,147.51,147.54,47601827.0,0.0,2021-08-26
149.81,150.32,147.8,148.36,57790733.0,0.0,2021-08-25
149.45,150.86,149.15,149.62,48606428.0,0.0,2021-08-24
148.31,150.19,147.89,149.71,60131810.0,0.0,2021-08-23
147.44,148.5,146.78,148.19,59947400.0,0.0,2021-08-20
145.03,148.0,144.52,146.7,81030081.0,0.0,2021-08-19
149.8,150.71,146.15,146.36,86325990.0,0.0,2021-08-18
150.23,151.68,149.09,150.19,91690172.0,0.0,2021-08-17
148.535,151.13,146.47,151.12,103558782.0,0.0,2021-08-16
148.97,149.44,148.27,149.1,59318800.0,0.0,2021-08-13
146.19,149.05,145.84,148.89,72282600.0,0.0,2021-08-12
146.05,146.718,145.53,145.86,48493463.0,0.0,2021-08-11
146.44,147.71,145.3,145.6,69023081.0,0.0,2021-08-10
146.2,146.7,145.52,146.09,48802159.0,0.0,2021-08-09
146.35,147.11,145.63,146.14,54067400.0,0.22,2021-08-06
146.98,147.84,146.17,147.06,46236448.0,0.0,2021-08-05
147.27,147.79,146.28,146.95,53941624.0,0.0,2021-08-04
145.81,148.04,145.18,147.36,64433620.0,0.0,2021-08-03
146.36,146.95,145.25,145.52,60129097.0,0.0,2021-08-02
144.38,146.33,144.11,145.86,70382000.0,0.0,2021-07-30
144.685,146.47,144.58,145.64,52800323.0,0.0,2021-07-29
144.81,146.96,142.54,144.98,113982837.0,0.0,2021-07-28
149.12,149.2,145.55,146.77,94028352.0,0.0,2021-07-27
148.27,149.83,147.7,148.99,71987172.0,0.0,2021-07-26
147.55,148.72,146.92,148.56,71361600.0,0.0,2021-07-23
145.935,148.195,145.81,146.8,74144058.0,0.0,2021-07-22
145.53,146.13,144.63,145.4,71439047.0,0.0,2021-07-21
143.46,147.0997,142.96,146.15,95496549.0,0.0,2021-07-20
143.75,144.07,141.67,142.45,116136809.0,0.0,2021-07-19
148.46,149.76,145.88,146.39,93100300.0,0.0,2021-07-16
149.24,150.0,147.095,148.48,104023741.0,0.0,2021-07-15
148.1,149.57,147.68,149.15,127050785.0,0.0,2021-07-14
144.03,147.46,143.63,145.64,98214828.0,0.0,2021-07-13
146.21,146.32,144.0,144.5,73241264.0,0.0,2021-07-12
142.75,145.65,142.65,145.11,99788400.0,0.0,2021-07-09
141.58,144.06,140.67,143.24,103561917.0,0.0,2021-07-08
